gen,eval,f,t_engine,J,mdot_A,kB,mdot_B,t1_vel_margin,t2_vel_margin,t1_mass_margin,t2_mass_margin
1,16,98.60000000000002,50.58123845511388,2100.0,5.904321443640139,0.9004685646662292,0.011510479397740992,9.399999999999977,-98.60000000000002,1.8999999999999773,279.20000000000005
1,17,53.5,59.268554293253956,2100.0,9.2659612539684,1.1754463163851643,-0.1567235158057103,136.5,-53.5,42.69999999999999,263.5
1,18,36.32099999999999,56.236099470097614,2100.0,10.674565081662337,1.2422617804898322,-0.2241342750656829,31.200000000000045,-35.19999999999999,62.39999999999998,257.20000000000005
1,19,278.2,53.562972332226416,2100.0,3.7143844452420782,1.1527416657871306,0.09325342740512954,-134.60000000000002,-130.39999999999998,-13.199999999999989,290.29999999999995
1,20,77.80000000000001,54.38935418696514,2100.0,9.798229979396671,0.807046141312336,-0.1189039967391604,-12.600000000000023,-43.89999999999998,-21.30000000000001,260.20000000000005
1,21,12.953399999999988,52.326518915067695,2100.0,14.30327572580206,0.9852137932785943,-0.3119222884168909,134.60000000000002,13.399999999999977,-12.699999999999989,240.39999999999998
1,22,10.800000000000011,48.3664043586779,2100.0,12.475131259883517,1.0910954297571815,-0.2690085681942235,99.0,-10.800000000000011,25.100000000000023,248.70000000000005
1,23,46.19999999999999,50.24102304716682,2100.0,9.81550992303061,1.1710851644251403,-0.16529740925176423,143.20000000000005,-46.19999999999999,31.30000000000001,261.0
1,24,76.60000000000002,49.08226893765881,2100.0,8.225616643134806,0.867053771128535,-0.06387143668530688,10.0,-66.10000000000002,-10.5,267.79999999999995
2,25,35.30000000000001,52.019254898092335,2100.0,10.586449329452979,1.1050312518954395,-0.19250163459613812,163.70000000000005,-35.30000000000001,25.0,257.20000000000005
2,26,8.599999999999966,60.71478671313565,2100.0,12.750053668175976,1.033974080627878,-0.2575573065673636,132.39999999999998,-5.899999999999977,-2.6999999999999886,247.0
2,27,1.258,54.88912999729685,2100.0,13.637055450746827,1.0650048006831163,-0.30649551585538976,114.89999999999998,3.6000000000000227,15.800000000000011,243.79999999999995
2,28,39.30000000000001,47.920948003918326,2100.0,10.311328368399167,1.1707373343450473,-0.18264326728277178,102.89999999999998,-39.30000000000001,31.100000000000023,258.6
2,29,42.63509999999998,54.338806389472346,2100.0,10.17800296514433,1.276325528695098,-0.2058062993332943,41.200000000000045,-41.89999999999998,63.60000000000002,259.5
2,30,18.463000000000022,47.50510503393685,2100.0,15.854878385054686,0.972805836087125,-0.37777720028370115,162.79999999999995,33.39999999999998,-17.100000000000023,233.60000000000002
2,31,65.60000000000002,55.2181601711079,2100.0,8.54923048679169,0.8456559669654389,-0.08712860781136564,21.700000000000045,-62.5,-3.1000000000000227,266.6
2,32,90.10000000000002,54.636924612559596,2100.0,6.582921251612044,1.2999445436297603,-0.038904858883049113,53.60000000000002,-90.10000000000002,19.80000000000001,276.20000000000005
2,33,23.69999999999999,47.85167225436079,2100.0,11.531195070649842,1.118033892526393,-0.23123231164747085,91.79999999999995,-23.69999999999999,29.399999999999977,253.20000000000005
2,34,367.7,48.494039099700764,2100.0,15.888515408155623,1.2896284318182871,-0.49957952047675924,-367.7,28.200000000000045,131.29999999999995,235.29999999999995
2,35,31.600000000000023,61.74357538687248,2100.0,11.039393334227414,0.9588886434723707,-0.18442544552830267,87.39999999999998,-29.0,-2.6000000000000227,255.0
2,36,46.89999999999998,50.05395784309802,2100.0,9.773592729302784,1.2979578788655597,-0.18050088919744153,58.89999999999998,-46.89999999999998,50.60000000000002,261.20000000000005
2,37,93.0,56.806351134350066,2100.0,6.397659924360381,1.1471162457838957,-0.03443004782265617,58.39999999999998,-93.0,22.69999999999999,277.20000000000005
2,38,18.69999999999999,48.55706464664698,2100.0,11.853373626951326,1.131247272330273,-0.250033856286494,85.20000000000005,-18.69999999999999,31.899999999999977,251.39999999999998
2,39,24.600000000000023,59.08595016514655,2100.0,11.35627197961623,1.069605212220003,-0.2181374959705153,167.60000000000002,-24.600000000000023,17.80000000000001,253.5
2,40,54.10000000000002,40.379522144814686,2100.0,9.033621759258391,1.219344178458155,-0.07444416291541917,69.70000000000005,-54.10000000000002,12.300000000000011,263.70000000000005
2,41,22.100000000000023,63.15389285311646,2100.0,11.63831898669572,1.083605449303874,-0.2282209664039176,153.89999999999998,-22.100000000000023,20.30000000000001,252.60000000000002
2,42,169.8,40.523488115804994,2100.0,15.46110939014242,1.208643233249589,-0.45859109966591527,-169.8,24.299999999999955,63.39999999999998,236.60000000000002
2,43,35.89999999999998,54.16444080296133,2100.0,10.467799756846663,1.0116829456429288,-0.17378661026470463,111.29999999999995,-35.89999999999998,7.600000000000023,257.5
2,44,82.19999999999999,49.00164538899008,2100.0,14.265439766631488,1.1705333695808655,-0.3744187976282195,-82.19999999999999,10.700000000000045,63.80000000000001,241.29999999999995
2,45,194.39999999999998,40.868685869274266,2100.0,15.520061544499432,1.2257156007687815,-0.4686150431492704,-194.39999999999998,23.799999999999955,72.89999999999998,236.79999999999995
2,46,12.899999999999977,43.44660979857249,2100.0,12.312858547392997,1.0805910407862722,-0.25182996731698254,59.10000000000002,-12.899999999999977,18.30000000000001,249.39999999999998
2,47,20.052,55.04665426061756,2100.0,11.865256525892976,1.1454705144168857,-0.25565367327734456,79.0,-19.0,40.19999999999999,251.5
2,48,2.755,47.816812670834,2100.0,15.893604178242057,1.0240015936120943,-0.3985761701365617,87.0,32.5,7.399999999999977,233.89999999999998
3,49,0.0,45.48726343919475,2100.0,13.633075501711758,1.1100909369476457,-0.32741282530564114,3.7000000000000455,2.6000000000000227,35.10000000000002,244.10000000000002
